Date,Region,Total_Amount
2021/01/01,DE-HH,650
2021/01/02,DE-HH,2
2021/01/03,DE-HH,605
2021/01/04,DE-HH,42
2021/01/05,DE-HH,25
2021/01/06,DE-HH,12
2021/01/07,DE-HH,8
2021/01/08,DE-HH,0
2021/01/09,DE-HH,194
2021/01/10,DE-HH,124
2021/01/11,DE-HH,0
2021/01/12,DE-HH,23
2021/01/13,DE-HH,0
2021/01/14,DE-HH,298
2021/01/15,DE-HH,160
2021/01/16,DE-HH,718
2021/01/17,DE-HH,364
2021/01/18,DE-HH,4
2021/01/19,DE-HH,11
2021/01/20,DE-HH,74
2021/01/21,DE-HH,368
2021/01/22,DE-HH,1
2021/01/23,DE-HH,873
2021/01/24,DE-HH,353
2021/01/25,DE-HH,84
2021/01/26,DE-HH,20
2021/01/27,DE-HH,39
2021/01/28,DE-HH,490
2021/01/29,DE-HH,19
2021/01/30,DE-HH,512
2021/01/31,DE-HH,495
2021/02/01,DE-HH,37
2021/02/02,DE-HH,209
2021/02/03,DE-HH,7
2021/02/04,DE-HH,213
2021/02/05,DE-HH,13
2021/02/06,DE-HH,756
2021/02/07,DE-HH,56
2021/02/08,DE-HH,460
2021/02/09,DE-HH,306
2021/02/10,DE-HH,3
2021/02/11,DE-HH,32
2021/02/12,DE-HH,406
2021/02/13,DE-HH,367
2021/02/14,DE-HH,147
2021/02/15,DE-HH,6
2021/02/16,DE-HH,223
2021/02/17,DE-HH,9
2021/02/18,DE-HH,41
2021/02/19,DE-HH,144
2021/02/20,DE-HH,261
2021/02/21,DE-HH,278
2021/02/22,DE-HH,146
2021/02/23,DE-HH,203
2021/02/24,DE-HH,194
2021/02/25,DE-HH,363
2021/02/26,DE-HH,108
2021/02/27,DE-HH,15
2021/02/28,DE-HH,259
2021/03/01,DE-HH,66
2021/03/02,DE-HH,122
2021/03/03,DE-HH,50
2021/03/04,DE-HH,59
2021/03/05,DE-HH,408
2021/03/06,DE-HH,487
2021/03/07,DE-HH,3
2021/03/08,DE-HH,70
2021/03/09,DE-HH,26
2021/03/10,DE-HH,64
2021/03/11,DE-HH,6
2021/03/12,DE-HH,5
2021/03/13,DE-HH,10
2021/03/14,DE-HH,191
2021/03/15,DE-HH,80
2021/03/16,DE-HH,98
2021/03/17,DE-HH,301
2021/03/18,DE-HH,44
2021/03/19,DE-HH,575
2021/03/20,DE-HH,132
2021/03/21,DE-HH,165
2021/03/22,DE-HH,58
2021/03/23,DE-HH,75
2021/03/24,DE-HH,30
2021/03/25,DE-HH,40
2021/03/26,DE-HH,152
2021/03/27,DE-HH,21
2021/03/28,DE-HH,9
2021/03/29,DE-HH,7
2021/03/30,DE-HH,70
2021/03/31,DE-HH,31
2021/04/01,DE-HH,39
2021/04/02,DE-HH,85
2021/04/03,DE-HH,44
2021/04/04,DE-HH,91
2021/04/05,DE-HH,141
2021/04/06,DE-HH,9
2021/04/07,DE-HH,85
2021/04/08,DE-HH,12
2021/04/09,DE-HH,562
2021/04/10,DE-HH,103
2021/04/11,DE-HH,30
2021/04/12,DE-HH,8
2021/04/13,DE-HH,136
2021/04/14,DE-HH,14
2021/04/15,DE-HH,19
2021/04/16,DE-HH,19
2021/04/17,DE-HH,312
2021/04/18,DE-HH,94
2021/04/19,DE-HH,27
2021/04/20,DE-HH,84
2021/04/21,DE-HH,22
2021/04/22,DE-HH,4
2021/04/23,DE-HH,20
2021/04/24,DE-HH,116
2021/04/25,DE-HH,20
2021/04/26,DE-HH,143
2021/04/27,DE-HH,7
2021/04/28,DE-HH,8
2021/04/29,DE-HH,44
2021/04/30,DE-HH,5
2021/05/01,DE-HH,160
2021/05/02,DE-HH,166
2021/05/03,DE-HH,50
2021/05/04,DE-HH,4
2021/05/05,DE-HH,121
2021/05/06,DE-HH,7
2021/05/07,DE-HH,15
2021/05/08,DE-HH,228
2021/05/09,DE-HH,74
2021/05/10,DE-HH,3
2021/05/11,DE-HH,6
2021/05/12,DE-HH,6
2021/05/13,DE-HH,146
2021/05/14,DE-HH,2
2021/05/15,DE-HH,149
2021/05/16,DE-HH,159
2021/05/17,DE-HH,131
2021/05/18,DE-HH,74
2021/05/19,DE-HH,7
2021/05/20,DE-HH,2
2021/05/21,DE-HH,6
2021/05/22,DE-HH,68
2021/05/23,DE-HH,14
2021/05/24,DE-HH,28
2021/05/25,DE-HH,10
2021/05/26,DE-HH,6
2021/05/27,DE-HH,3
2021/05/28,DE-HH,7
2021/05/29,DE-HH,253
2021/05/30,DE-HH,354
2021/05/31,DE-HH,152
2021/06/01,DE-HH,2
2021/06/02,DE-HH,27
2021/06/03,DE-HH,4
2021/06/04,DE-HH,7
2021/06/05,DE-HH,4
2021/06/06,DE-HH,83
2021/06/07,DE-HH,147
2021/06/08,DE-HH,161
2021/06/09,DE-HH,55
2021/06/10,DE-HH,253
2021/06/11,DE-HH,230
2021/06/12,DE-HH,139
2021/06/13,DE-HH,234
2021/06/14,DE-HH,63
2021/06/15,DE-HH,52
2021/06/16,DE-HH,140
2021/06/17,DE-HH,79
2021/06/18,DE-HH,63
2021/06/19,DE-HH,400
2021/06/20,DE-HH,5
2021/06/21,DE-HH,7
2021/06/22,DE-HH,51
2021/06/23,DE-HH,3
2021/06/24,DE-HH,136
2021/06/25,DE-HH,29
2021/06/26,DE-HH,81
2021/06/27,DE-HH,397
2021/06/28,DE-HH,2
2021/06/29,DE-HH,60
2021/06/30,DE-HH,511
2021/07/01,DE-HH,2
2021/07/02,DE-HH,8
2021/07/03,DE-HH,81
2021/07/04,DE-HH,49
2021/07/05,DE-HH,3
2021/07/06,DE-HH,626
2021/07/07,DE-HH,91
2021/07/08,DE-HH,84
2021/07/09,DE-HH,29
2021/07/10,DE-HH,23
2021/07/11,DE-HH,1
2021/07/12,DE-HH,0
2021/07/13,DE-HH,10
2021/07/14,DE-HH,5
2021/07/15,DE-HH,10
2021/07/16,DE-HH,35
2021/07/17,DE-HH,0
2021/07/18,DE-HH,0
2021/07/19,DE-HH,4
2021/07/20,DE-HH,39
2021/07/21,DE-HH,4
2021/07/22,DE-HH,2
2021/07/23,DE-HH,3
2021/07/24,DE-HH,26
2021/07/25,DE-HH,5
2021/07/26,DE-HH,36
2021/07/27,DE-HH,3
2021/07/28,DE-HH,22
2021/07/29,DE-HH,4
2021/07/30,DE-HH,4
2021/07/31,DE-HH,33
2021/08/01,DE-HH,27
2021/08/02,DE-HH,3
2021/08/03,DE-HH,4
2021/08/04,DE-HH,99
2021/08/05,DE-HH,3
2021/08/06,DE-HH,61
2021/08/07,DE-HH,5
2021/08/08,DE-HH,675
2021/08/09,DE-HH,54
2021/08/10,DE-HH,3
2021/08/11,DE-HH,5
2021/08/12,DE-HH,3
2021/08/13,DE-HH,6
2021/08/14,DE-HH,4
2021/08/15,DE-HH,25
2021/08/16,DE-HH,4
2021/08/17,DE-HH,3
2021/08/18,DE-HH,121
2021/08/19,DE-HH,4
2021/08/20,DE-HH,22
2021/08/21,DE-HH,67
2021/08/22,DE-HH,773
2021/08/23,DE-HH,76
2021/08/24,DE-HH,210
2021/08/25,DE-HH,134
2021/08/26,DE-HH,425
2021/08/27,DE-HH,15
2021/08/28,DE-HH,3
2021/08/29,DE-HH,5
2021/08/30,DE-HH,59
2021/08/31,DE-HH,8
2021/09/01,DE-HH,5
2021/09/02,DE-HH,26
2021/09/03,DE-HH,2
2021/09/04,DE-HH,3
2021/09/05,DE-HH,7
2021/09/06,DE-HH,2
2021/09/07,DE-HH,391
2021/09/08,DE-HH,2
2021/09/09,DE-HH,13
2021/09/10,DE-HH,339
2021/09/11,DE-HH,82
2021/09/12,DE-HH,5
2021/09/13,DE-HH,4
2021/09/14,DE-HH,42
2021/09/15,DE-HH,3
2021/09/16,DE-HH,120
2021/09/17,DE-HH,85
2021/09/18,DE-HH,21
2021/09/19,DE-HH,69
2021/09/20,DE-HH,7
2021/09/21,DE-HH,5
2021/09/22,DE-HH,10
2021/09/23,DE-HH,91
2021/09/24,DE-HH,3
2021/09/25,DE-HH,44
2021/09/26,DE-HH,5
2021/09/27,DE-HH,38
2021/09/28,DE-HH,5
2021/09/29,DE-HH,2
2021/09/30,DE-HH,0
2021/10/01,DE-HH,498
2021/10/02,DE-HH,0
2021/10/03,DE-HH,78
2021/10/04,DE-HH,18
2021/10/05,DE-HH,0
2021/10/06,DE-HH,14
2021/10/07,DE-HH,219
2021/10/08,DE-HH,235
2021/10/09,DE-HH,589
2021/10/10,DE-HH,6
2021/10/11,DE-HH,5
2021/10/12,DE-HH,4
2021/10/13,DE-HH,2
2021/10/14,DE-HH,6
2021/10/15,DE-HH,287
2021/10/16,DE-HH,28
2021/10/17,DE-HH,114
2021/10/18,DE-HH,1184
2021/10/19,DE-HH,132
2021/10/20,DE-HH,1093
2021/10/21,DE-HH,51
2021/10/22,DE-HH,30
2021/10/23,DE-HH,45
2021/10/24,DE-HH,10
2021/10/25,DE-HH,6
2021/10/26,DE-HH,222
2021/10/27,DE-HH,124
2021/10/28,DE-HH,156
2021/10/29,DE-HH,78
2021/10/30,DE-HH,327
2021/10/31,DE-HH,297
2021/11/01,DE-HH,13
2021/11/02,DE-HH,5
2021/11/03,DE-HH,111
2021/11/04,DE-HH,5
2021/11/05,DE-HH,78
2021/11/06,DE-HH,26
2021/11/07,DE-HH,62
2021/11/08,DE-HH,8
2021/11/09,DE-HH,537
2021/11/10,DE-HH,97
2021/11/11,DE-HH,9
2021/11/12,DE-HH,103
2021/11/13,DE-HH,6
2021/11/14,DE-HH,7
2021/11/15,DE-HH,73
2021/11/16,DE-HH,23
2021/11/17,DE-HH,6
2021/11/18,DE-HH,7
2021/11/19,DE-HH,6
2021/11/20,DE-HH,7
2021/11/21,DE-HH,233
2021/11/22,DE-HH,6
2021/11/23,DE-HH,7
2021/11/24,DE-HH,7
2021/11/25,DE-HH,36
2021/11/26,DE-HH,130
2021/11/27,DE-HH,6
2021/11/28,DE-HH,232
2021/11/29,DE-HH,14
2021/11/30,DE-HH,11
2021/12/01,DE-HH,7
2021/12/02,DE-HH,87
2021/12/03,DE-HH,5
2021/12/04,DE-HH,3
2021/12/05,DE-HH,69
2021/12/06,DE-HH,4
2021/12/07,DE-HH,111
2021/12/08,DE-HH,4
2021/12/09,DE-HH,9
2021/12/10,DE-HH,7
2021/12/11,DE-HH,27
2021/12/12,DE-HH,2
2021/12/13,DE-HH,5
2021/12/14,DE-HH,5
2021/12/15,DE-HH,6
2021/12/16,DE-HH,3
2021/12/17,DE-HH,217
2021/12/18,DE-HH,182
2021/12/19,DE-HH,14
2021/12/20,DE-HH,5
2021/12/21,DE-HH,8
2021/12/22,DE-HH,4
2021/12/23,DE-HH,54
2021/12/24,DE-HH,76
2021/12/25,DE-HH,319
2021/12/26,DE-HH,23
2021/12/27,DE-HH,38
2021/12/28,DE-HH,186
2021/12/29,DE-HH,5
2021/12/30,DE-HH,12
2021/12/31,DE-HH,15
2022/01/01,DE-HH,370
2022/01/02,DE-HH,5
2022/01/03,DE-HH,10
2022/01/04,DE-HH,4
2022/01/05,DE-HH,13
2022/01/06,DE-HH,16
2022/01/07,DE-HH,8
2022/01/08,DE-HH,16
2022/01/09,DE-HH,39
2022/01/10,DE-HH,45
2022/01/11,DE-HH,14
2022/01/12,DE-HH,7
2022/01/13,DE-HH,10
2022/01/14,DE-HH,371
2022/01/15,DE-HH,28
2022/01/16,DE-HH,291
2022/01/17,DE-HH,7
2022/01/18,DE-HH,6
2022/01/19,DE-HH,6
2022/01/20,DE-HH,38
2022/01/21,DE-HH,5
2022/01/22,DE-HH,9
2022/01/23,DE-HH,182
2022/01/24,DE-HH,135
2022/01/25,DE-HH,259
2022/01/26,DE-HH,4
2022/01/27,DE-HH,4
2022/01/28,DE-HH,4
2022/01/29,DE-HH,9
2022/01/30,DE-HH,21
2022/01/31,DE-HH,6
2022/02/01,DE-HH,56
2022/02/02,DE-HH,8
2022/02/03,DE-HH,49
2022/02/04,DE-HH,8
2022/02/05,DE-HH,153
2022/02/06,DE-HH,3
2022/02/07,DE-HH,139
2022/02/08,DE-HH,5
2022/02/09,DE-HH,68
2022/02/10,DE-HH,118
2022/02/11,DE-HH,76
2022/02/12,DE-HH,228
2022/02/13,DE-HH,300
2022/02/14,DE-HH,60
2022/02/15,DE-HH,8
2022/02/16,DE-HH,6
2022/02/17,DE-HH,2
2022/02/18,DE-HH,85
2022/02/19,DE-HH,80
2022/02/20,DE-HH,11
2022/02/21,DE-HH,7
2022/02/22,DE-HH,40
2022/02/23,DE-HH,116
2022/02/24,DE-HH,50
2022/02/25,DE-HH,34
2022/02/26,DE-HH,175
2022/02/27,DE-HH,383
2022/02/28,DE-HH,32
2022/03/01,DE-HH,13
2022/03/02,DE-HH,105
2022/03/03,DE-HH,143
2022/03/04,DE-HH,9
2022/03/05,DE-HH,341
2022/03/06,DE-HH,135
2022/03/07,DE-HH,33
2022/03/08,DE-HH,124
2022/03/09,DE-HH,57
2022/03/10,DE-HH,13
2022/03/11,DE-HH,173
2022/03/12,DE-HH,56
2022/03/13,DE-HH,83
2022/03/14,DE-HH,653
2022/03/15,DE-HH,41
2022/03/16,DE-HH,53
2022/03/17,DE-HH,67
2022/03/18,DE-HH,60
2022/03/19,DE-HH,668
2022/03/20,DE-HH,61
2022/03/21,DE-HH,178
2022/03/22,DE-HH,46
2022/03/23,DE-HH,52
2022/03/24,DE-HH,42
2022/03/25,DE-HH,31
2022/03/26,DE-HH,94
2022/03/27,DE-HH,106
2022/03/28,DE-HH,80
2022/03/29,DE-HH,14
2022/03/30,DE-HH,78
2022/03/31,DE-HH,8
2022/04/01,DE-HH,4
2022/04/02,DE-HH,147
2022/04/03,DE-HH,9
2022/04/04,DE-HH,8
2022/04/05,DE-HH,36
2022/04/06,DE-HH,6
2022/04/07,DE-HH,46
2022/04/08,DE-HH,46
2022/04/09,DE-HH,15
2022/04/10,DE-HH,97
2022/04/11,DE-HH,78
2022/04/12,DE-HH,50
2022/04/13,DE-HH,153
2022/04/14,DE-HH,48
2022/04/15,DE-HH,12
2022/04/16,DE-HH,185
2022/04/17,DE-HH,234
2022/04/18,DE-HH,223
2022/04/19,DE-HH,64
2022/04/20,DE-HH,134
2022/04/21,DE-HH,21
2022/04/22,DE-HH,43
2022/04/23,DE-HH,53
2022/04/24,DE-HH,5
2022/04/25,DE-HH,17
2022/04/26,DE-HH,13
2022/04/27,DE-HH,11
2022/04/28,DE-HH,122
2022/04/29,DE-HH,89
2022/04/30,DE-HH,170
2022/05/01,DE-HH,191
2022/05/02,DE-HH,41
2022/05/03,DE-HH,60
2022/05/04,DE-HH,9
2022/05/05,DE-HH,106
2022/05/06,DE-HH,19
2022/05/07,DE-HH,76
2022/05/08,DE-HH,234
2022/05/09,DE-HH,137
2022/05/10,DE-HH,59
2022/05/11,DE-HH,542
2022/05/12,DE-HH,96
2022/05/13,DE-HH,3
2022/05/14,DE-HH,215
2022/05/15,DE-HH,165
2022/05/16,DE-HH,97
2022/05/17,DE-HH,40
2022/05/18,DE-HH,89
2022/05/19,DE-HH,7
2022/05/20,DE-HH,55
2022/05/21,DE-HH,42
2022/05/22,DE-HH,122
2022/05/23,DE-HH,207
2022/05/24,DE-HH,279
2022/05/25,DE-HH,56
2022/05/26,DE-HH,141
2022/05/27,DE-HH,219
2022/05/28,DE-HH,181
2022/05/29,DE-HH,25
2022/05/30,DE-HH,174
2022/05/31,DE-HH,198
2022/06/01,DE-HH,30
2022/06/02,DE-HH,133
2022/06/03,DE-HH,198
2022/06/04,DE-HH,204
2022/06/05,DE-HH,217
2022/06/06,DE-HH,256
2022/06/07,DE-HH,2
2022/06/08,DE-HH,12
2022/06/09,DE-HH,153
2022/06/10,DE-HH,153
2022/06/11,DE-HH,144
2022/06/12,DE-HH,131
2022/06/13,DE-HH,131
2022/06/14,DE-HH,90
2022/06/15,DE-HH,0
2022/06/16,DE-HH,0
2022/06/17,DE-HH,261
2022/06/18,DE-HH,103
2022/06/19,DE-HH,30
2022/06/20,DE-HH,5
2022/06/21,DE-HH,125
2022/06/22,DE-HH,41
2022/06/23,DE-HH,32
2022/06/24,DE-HH,0
2022/06/25,DE-HH,19
2022/06/26,DE-HH,60
2022/06/27,DE-HH,113
2022/06/28,DE-HH,7
2022/06/29,DE-HH,5
2022/06/30,DE-HH,17
2022/07/01,DE-HH,5
2022/07/02,DE-HH,26
2022/07/03,DE-HH,45
2022/07/04,DE-HH,4
2022/07/05,DE-HH,5
2022/07/06,DE-HH,80
2022/07/07,DE-HH,6
2022/07/08,DE-HH,29
2022/07/09,DE-HH,67
2022/07/10,DE-HH,13
2022/07/11,DE-HH,5
2022/07/12,DE-HH,138
2022/07/13,DE-HH,161
2022/07/14,DE-HH,30
2022/07/15,DE-HH,41
2022/07/16,DE-HH,49
2022/07/17,DE-HH,384
2022/07/18,DE-HH,6
2022/07/19,DE-HH,13
2022/07/20,DE-HH,172
2022/07/21,DE-HH,11
2022/07/22,DE-HH,6
2022/07/23,DE-HH,126
2022/07/24,DE-HH,27
2022/07/25,DE-HH,111
2022/07/26,DE-HH,8
2022/07/27,DE-HH,4
2022/07/28,DE-HH,43
2022/07/29,DE-HH,90
2022/07/30,DE-HH,168
2022/07/31,DE-HH,29
2022/08/01,DE-HH,122
2022/08/02,DE-HH,6
2022/08/03,DE-HH,4
2022/08/04,DE-HH,76
2022/08/05,DE-HH,40
2022/08/06,DE-HH,23
2022/08/07,DE-HH,6
2022/08/08,DE-HH,5
2022/08/09,DE-HH,8
2022/08/10,DE-HH,7
2022/08/11,DE-HH,107
2022/08/12,DE-HH,44
2022/08/13,DE-HH,39
2022/08/14,DE-HH,65
2022/08/15,DE-HH,8
2022/08/16,DE-HH,26
2022/08/17,DE-HH,19
2022/08/18,DE-HH,29
2022/08/19,DE-HH,34
2022/08/20,DE-HH,177
2022/08/21,DE-HH,3
2022/08/22,DE-HH,25
2022/08/23,DE-HH,6
2022/08/24,DE-HH,32
2022/08/25,DE-HH,6
2022/08/26,DE-HH,99
2022/08/27,DE-HH,95
2022/08/28,DE-HH,82
2022/08/29,DE-HH,47
2022/08/30,DE-HH,95
2022/08/31,DE-HH,3
2022/09/01,DE-HH,81
2022/09/02,DE-HH,76
2022/09/03,DE-HH,8
2022/09/04,DE-HH,66
2022/09/05,DE-HH,57
2022/09/06,DE-HH,41
2022/09/07,DE-HH,5
