Date,Region,SpeciesRichness,Max_Temp
2020-03-01,Nord,20,8.9
2020-03-01,Süd,83,10.9
2020-03-02,Nord,16,9.5
2020-03-02,Süd,64,10.1
2020-03-03,Nord,0,7.8
2020-03-03,Süd,28,5.8
2020-03-04,Nord,16,7.5
2020-03-04,Süd,48,6.8
2020-03-05,Nord,0,9.5
2020-03-05,Süd,60,8.9
2020-03-06,Nord,31,6.5
2020-03-06,Süd,41,8.1
2020-03-07,Nord,0,7.8
2020-03-07,Süd,80,5.4
2020-03-08,Nord,0,11.6
2020-03-08,Süd,90,9.4
2020-03-09,Nord,16,10.8
2020-03-09,Süd,75,7.8
2020-03-10,Nord,0,10.9
2020-03-10,Süd,7,8.2
2020-03-11,Nord,0,12.2
2020-03-11,Süd,47,14.2
2020-03-12,Nord,2,10.8
2020-03-12,Süd,71,15.7
2020-03-13,Nord,1,8.4
2020-03-13,Süd,63,9.8
2020-03-14,Nord,0,8.4
2020-03-14,Süd,99,8.8
2020-03-15,Nord,36,13.6
2020-03-15,Süd,111,12.8
2020-03-16,Nord,0,12.4
2020-03-16,Süd,84,15.6
2020-03-17,Nord,3,11.6
2020-03-17,Süd,82,13.1
2020-03-18,Nord,0,13.6
2020-03-18,Süd,97,15.9
2020-03-19,Nord,1,10.4
2020-03-19,Süd,69,17.0
2020-03-20,Nord,1,8.6
2020-03-20,Süd,97,17.1
2020-03-21,Nord,1,6.3
2020-03-21,Süd,76,8.5
2020-03-22,Nord,3,6.4
2020-03-22,Süd,116,4.3
2020-03-23,Nord,0,6.4
2020-03-23,Süd,70,2.4
2020-03-24,Nord,1,7.9
2020-03-24,Süd,94,4.8
2020-03-25,Nord,0,9.3
2020-03-25,Süd,67,4.6
2020-03-26,Nord,0,9.9
2020-03-26,Süd,90,7.7
2020-03-27,Nord,0,13.7
2020-03-27,Süd,115,15.4
2020-03-28,Nord,0,11.9
2020-03-28,Süd,113,14.2
2020-03-29,Nord,0,5.7
2020-03-29,Süd,92,9.4
2020-03-30,Nord,0,6.4
2020-03-30,Süd,49,3.5
2020-03-31,Nord,0,5.4
2020-03-31,Süd,91,5.0
2020-04-01,Nord,0,8.6
2020-04-01,Süd,86,7.7
2020-04-02,Nord,0,10.1
2020-04-02,Süd,78,11.6
2020-04-03,Nord,11,8.2
2020-04-03,Süd,89,11.4
2020-04-04,Nord,24,11.9
2020-04-04,Süd,107,12.9
2020-04-05,Nord,25,16.2
2020-04-05,Süd,116,15.1
2020-04-06,Nord,59,20.9
2020-04-06,Süd,109,19.1
2020-04-07,Nord,10,16.5
2020-04-07,Süd,101,19.1
2020-04-08,Nord,1,21.2
2020-04-08,Süd,107,20.3
2020-04-09,Nord,1,16.2
2020-04-09,Süd,110,19.9
2020-04-10,Nord,3,12.1
2020-04-10,Süd,139,19.8
2020-04-11,Nord,4,16.2
2020-04-11,Süd,129,18.8
2020-04-12,Nord,6,21.0
2020-04-12,Süd,132,20.9
2020-04-13,Nord,27,9.9
2020-04-13,Süd,113,18.8
2020-04-14,Nord,0,8.7
2020-04-14,Süd,127,6.1
2020-04-15,Nord,1,14.8
2020-04-15,Süd,127,14.9
2020-04-16,Nord,36,16.2
2020-04-16,Süd,130,20.2
2020-04-17,Nord,1,14.4
2020-04-17,Süd,128,22.2
2020-04-18,Nord,6,15.8
2020-04-18,Süd,133,22.3
2020-04-19,Nord,26,13.3
2020-04-19,Süd,143,19.0
2020-04-20,Nord,2,15.2
2020-04-20,Süd,115,16.4
2020-04-21,Nord,2,16.0
2020-04-21,Süd,106,18.0
2020-04-22,Nord,6,17.3
2020-04-22,Süd,104,18.9
2020-04-23,Nord,40,20.6
2020-04-23,Süd,127,18.8
2020-04-24,Nord,49,17.2
2020-04-24,Süd,117,20.1
2020-04-25,Nord,0,15.4
2020-04-25,Süd,128,18.2
2020-04-26,Nord,24,13.2
2020-04-26,Süd,125,17.9
2020-04-27,Nord,14,19.8
2020-04-27,Süd,121,17.8
2020-04-28,Nord,4,16.8
2020-04-28,Süd,131,19.5
2020-04-29,Nord,48,15.1
2020-04-29,Süd,86,13.1
2020-04-30,Nord,21,15.6
2020-04-30,Süd,103,17.0
2021-03-01,Nord,18,7.2
2021-03-01,Süd,98,10.6
2021-03-02,Nord,19,9.6
2021-03-02,Süd,99,12.1
2021-03-03,Nord,14,13.4
2021-03-03,Süd,85,14.2
2021-03-04,Nord,23,6.4
2021-03-04,Süd,88,13.1
2021-03-05,Nord,25,5.8
2021-03-05,Süd,87,5.7
2021-03-06,Nord,32,6.8
2021-03-06,Süd,113,4.6
2021-03-07,Nord,2,6.1
2021-03-07,Süd,120,9.0
2021-03-08,Nord,29,5.8
2021-03-08,Süd,102,6.1
2021-03-09,Nord,10,4.1
2021-03-09,Süd,86,5.7
2021-03-10,Nord,20,7.4
2021-03-10,Süd,83,6.1
2021-03-11,Nord,4,10.7
2021-03-11,Süd,72,14.8
2021-03-12,Nord,4,8.1
2021-03-12,Süd,72,9.4
2021-03-13,Nord,7,8.4
2021-03-13,Süd,111,12.6
2021-03-14,Nord,39,7.8
2021-03-14,Süd,99,5.2
2021-03-15,Nord,22,6.9
2021-03-15,Süd,76,3.8
2021-03-16,Nord,31,7.4
2021-03-16,Süd,74,4.4
2021-03-17,Nord,35,7.9
2021-03-17,Süd,83,3.7
2021-03-18,Nord,18,6.1
2021-03-18,Süd,84,4.2
2021-03-19,Nord,30,5.2
2021-03-19,Süd,94,3.3
2021-03-20,Nord,32,5.1
2021-03-20,Süd,111,-0.2
2021-03-21,Nord,36,9.8
2021-03-21,Süd,104,1.0
2021-03-22,Nord,21,9.0
2021-03-22,Süd,90,3.1
2021-03-23,Nord,26,8.1
2021-03-23,Süd,83,6.2
2021-03-24,Nord,14,13.6
2021-03-24,Süd,110,12.1
2021-03-25,Nord,15,13.3
2021-03-25,Süd,111,15.1
2021-03-26,Nord,44,14.7
2021-03-26,Süd,108,16.4
2021-03-27,Nord,9,9.8
2021-03-27,Süd,111,9.6
2021-03-28,Nord,6,11.8
2021-03-28,Süd,132,13.1
2021-03-29,Nord,5,17.5
2021-03-29,Süd,116,17.3
2021-03-30,Nord,24,19.6
2021-03-30,Süd,121,19.5
2021-03-31,Nord,18,22.4
2021-03-31,Süd,125,20.6
2021-04-01,Nord,14,12.9
2021-04-01,Süd,119,21.5
2021-04-02,Nord,25,7.9
2021-04-02,Süd,129,12.5
2021-04-03,Nord,15,11.1
2021-04-03,Süd,133,7.1
2021-04-04,Nord,28,8.4
2021-04-04,Süd,142,9.9
2021-04-05,Nord,24,6.3
2021-04-05,Süd,132,13.4
2021-04-06,Nord,7,5.1
2021-04-06,Süd,103,2.8
2021-04-07,Nord,17,6.3
2021-04-07,Süd,111,2.8
2021-04-08,Nord,7,6.3
2021-04-08,Süd,131,5.7
2021-04-09,Nord,35,10.4
2021-04-09,Süd,132,15.8
2021-04-10,Nord,45,9.1
2021-04-10,Süd,129,15.4
2021-04-11,Nord,18,10.8
2021-04-11,Süd,133,19.0
2021-04-12,Nord,4,7.8
2021-04-12,Süd,87,8.4
2021-04-13,Nord,26,8.9
2021-04-13,Süd,121,5.6
2021-04-14,Nord,9,8.2
2021-04-14,Süd,122,5.8
2021-04-15,Nord,10,9.2
2021-04-15,Süd,125,6.3
2021-04-16,Nord,11,10.2
2021-04-16,Süd,118,6.0
2021-04-17,Nord,39,12.8
2021-04-17,Süd,151,6.1
2021-04-18,Nord,30,14.6
2021-04-18,Süd,150,8.1
2021-04-19,Nord,14,15.9
2021-04-19,Süd,140,9.8
2021-04-20,Nord,27,15.7
2021-04-20,Süd,138,11.4
2021-04-21,Nord,14,12.1
2021-04-21,Süd,127,14.9
2021-04-22,Nord,4,9.1
2021-04-22,Süd,135,12.9
2021-04-23,Nord,11,12.1
2021-04-23,Süd,146,13.9
2021-04-24,Nord,35,11.9
2021-04-24,Süd,157,16.6
2021-04-25,Nord,12,10.6
2021-04-25,Süd,162,14.4
2021-04-26,Nord,30,10.1
2021-04-26,Süd,140,13.6
2021-04-27,Nord,5,11.8
2021-04-27,Süd,144,15.2
2021-04-28,Nord,6,16.0
2021-04-28,Süd,151,18.6
2021-04-29,Nord,15,10.0
2021-04-29,Süd,111,15.6
2021-04-30,Nord,4,12.1
2021-04-30,Süd,148,17.8
2022-03-01,Nord,8,7.7
2022-03-01,Süd,104,6.2
2022-03-02,Nord,23,8.3
2022-03-02,Süd,94,6.9
2022-03-03,Nord,15,5.0
2022-03-03,Süd,99,8.5
2022-03-04,Nord,4,5.8
2022-03-04,Süd,114,5.4
2022-03-05,Nord,42,5.7
2022-03-05,Süd,116,4.1
2022-03-06,Nord,23,4.6
2022-03-06,Süd,112,3.1
2022-03-07,Nord,6,7.9
2022-03-07,Süd,65,0.9
2022-03-08,Nord,16,9.4
2022-03-08,Süd,92,6.2
2022-03-09,Nord,18,11.2
2022-03-09,Süd,101,10.4
2022-03-10,Nord,7,11.4
2022-03-10,Süd,91,11.4
2022-03-11,Nord,32,8.3
2022-03-11,Süd,103,8.6
2022-03-12,Nord,19,11.0
2022-03-12,Süd,132,10.9
2022-03-13,Nord,19,11.8
2022-03-13,Süd,109,12.9
2022-03-14,Nord,35,9.4
2022-03-14,Süd,89,13.6
2022-03-15,Nord,15,11.3
2022-03-15,Süd,88,11.9
2022-03-16,Nord,22,10.3
2022-03-16,Süd,81,9.7
2022-03-17,Nord,19,9.8
2022-03-17,Süd,88,10.7
2022-03-18,Nord,23,12.9
2022-03-18,Süd,106,11.0
2022-03-19,Nord,60,10.1
2022-03-19,Süd,113,9.1
2022-03-20,Nord,23,11.9
2022-03-20,Süd,126,12.8
2022-03-21,Nord,42,13.4
2022-03-21,Süd,101,12.2
2022-03-22,Nord,28,16.2
2022-03-22,Süd,109,14.0
2022-03-23,Nord,19,16.5
2022-03-23,Süd,109,16.1
2022-03-24,Nord,25,15.2
2022-03-24,Süd,110,16.8
2022-03-25,Nord,14,16.1
2022-03-25,Süd,117,16.0
2022-03-26,Nord,21,12.9
2022-03-26,Süd,136,16.0
2022-03-27,Nord,37,14.4
2022-03-27,Süd,116,17.0
2022-03-28,Nord,35,11.3
2022-03-28,Süd,117,18.5
2022-03-29,Nord,6,9.2
2022-03-29,Süd,92,16.9
2022-03-30,Nord,18,6.8
2022-03-30,Süd,86,11.9
2022-03-31,Nord,12,6.1
2022-03-31,Süd,107,9.8
2022-04-01,Nord,3,4.7
2022-04-01,Süd,83,6.1
2022-04-02,Nord,14,5.9
2022-04-02,Süd,116,0.8
2022-04-03,Nord,5,7.9
2022-04-03,Süd,129,1.2
2022-04-04,Nord,4,7.6
2022-04-04,Süd,116,6.6
2022-04-05,Nord,12,8.1
2022-04-05,Süd,102,9.9
2022-04-06,Nord,4,10.1
2022-04-06,Süd,123,15.6
2022-04-07,Nord,14,10.4
2022-04-07,Süd,95,15.3
2022-04-08,Nord,18,9.2
2022-04-08,Süd,105,13.5
2022-04-09,Nord,5,7.2
2022-04-09,Süd,132,11.8
2022-04-10,Nord,35,7.9
2022-04-10,Süd,144,7.2
2022-04-11,Nord,31,11.8
2022-04-11,Süd,133,12.9
2022-04-12,Nord,27,15.9
2022-04-12,Süd,131,18.5
2022-04-13,Nord,22,21.0
2022-04-13,Süd,140,20.1
2022-04-14,Nord,17,16.2
2022-04-14,Süd,124,21.0
2022-04-15,Nord,7,11.0
2022-04-15,Süd,137,17.2
2022-04-16,Nord,53,12.1
2022-04-16,Süd,143,9.9
2022-04-17,Nord,42,14.2
2022-04-17,Süd,148,10.1
2022-04-18,Nord,30,15.4
2022-04-18,Süd,140,12.9
2022-04-19,Nord,26,14.1
2022-04-19,Süd,119,13.4
2022-04-20,Nord,40,14.8
2022-04-20,Süd,157,11.9
2022-04-21,Nord,9,13.9
2022-04-21,Süd,130,14.3
2022-04-22,Nord,15,15.1
2022-04-22,Süd,133,15.3
2022-04-23,Nord,32,16.2
2022-04-23,Süd,154,15.4
2022-04-24,Nord,3,12.8
2022-04-24,Süd,128,12.1
2022-04-25,Nord,8,13.8
2022-04-25,Süd,130,14.5
2022-04-26,Nord,10,15.6
2022-04-26,Süd,106,11.3
2022-04-27,Nord,6,13.6
2022-04-27,Süd,137,12.0
2022-04-28,Nord,17,15.4
2022-04-28,Süd,140,15.4
2022-04-29,Nord,39,14.2
2022-04-29,Süd,158,17.2
2022-04-30,Nord,43,13.8
2022-04-30,Süd,167,12.6
2023-03-01,Nord,29,6.9
2023-03-01,Süd,96,6.0
2023-03-02,Nord,16,5.1
2023-03-02,Süd,89,9.9
2023-03-03,Nord,45,5.9
2023-03-03,Süd,93,8.1
2023-03-04,Nord,21,5.7
2023-03-04,Süd,104,6.4
2023-03-05,Nord,0,4.4
2023-03-05,Süd,87,3.8
2023-03-06,Nord,0,4.8
2023-03-06,Süd,78,4.1
2023-03-07,Nord,19,5.2
2023-03-07,Süd,85,7.3
2023-03-08,Nord,13,4.1
2023-03-08,Süd,72,10.6
2023-03-09,Nord,8,3.7
2023-03-09,Süd,63,12.6
2023-03-10,Nord,2,1.9
2023-03-10,Süd,73,12.4
2023-03-11,Nord,66,5.6
2023-03-11,Süd,123,4.0
2023-03-12,Nord,25,6.9
2023-03-12,Süd,118,8.2
2023-03-13,Nord,19,15.8
2023-03-13,Süd,108,17.3
2023-03-14,Nord,32,10.0
2023-03-14,Süd,90,10.9
2023-03-15,Nord,21,5.8
2023-03-15,Süd,97,6.2
2023-03-16,Nord,31,8.8
2023-03-16,Süd,112,9.1
2023-03-17,Nord,29,15.6
2023-03-17,Süd,113,16.0
2023-03-18,Nord,32,15.6
2023-03-18,Süd,139,16.6
2023-03-19,Nord,52,15.1
2023-03-19,Süd,113,13.1
2023-03-20,Nord,0,10.4
2023-03-20,Süd,114,12.2
2023-03-21,Nord,25,11.1
2023-03-21,Süd,110,14.1
2023-03-22,Nord,33,13.8
2023-03-22,Süd,108,18.0
2023-03-23,Nord,32,14.3
2023-03-23,Süd,93,17.5
2023-03-24,Nord,35,14.2
2023-03-24,Süd,108,14.2
2023-03-25,Nord,30,9.9
2023-03-25,Süd,130,11.4
2023-03-26,Nord,50,9.8
2023-03-26,Süd,121,10.3
2023-03-27,Nord,22,6.4
2023-03-27,Süd,109,5.1
2023-03-28,Nord,39,7.6
2023-03-28,Süd,111,6.2
2023-03-29,Nord,32,10.8
2023-03-29,Süd,112,13.8
2023-03-30,Nord,37,15.1
2023-03-30,Süd,101,13.6
2023-03-31,Nord,30,12.3
2023-03-31,Süd,103,14.1
2023-04-01,Nord,34,8.9
2023-04-01,Süd,126,10.9
2023-04-02,Nord,81,7.5
2023-04-02,Süd,125,9.6
2023-04-03,Nord,51,6.9
2023-04-03,Süd,120,4.3
2023-04-04,Nord,50,6.9
2023-04-04,Süd,137,3.8
2023-04-05,Nord,27,8.6
2023-04-05,Süd,138,6.0
2023-04-06,Nord,34,12.1
2023-04-06,Süd,125,9.2
2023-04-07,Nord,66,10.8
2023-04-07,Süd,150,9.8
2023-04-08,Nord,36,10.8
2023-04-08,Süd,129,5.4
2023-04-09,Nord,34,12.1
2023-04-09,Süd,138,9.3
2023-04-10,Nord,81,16.9
2023-04-10,Süd,159,12.9
2023-04-11,Nord,67,10.4
2023-04-11,Süd,131,10.6
2023-04-12,Nord,29,10.1
2023-04-12,Süd,128,12.9
2023-04-13,Nord,17,12.0
2023-04-13,Süd,135,8.4
2023-04-14,Nord,16,12.4
2023-04-14,Süd,130,8.4
2023-04-15,Nord,24,13.1
2023-04-15,Süd,138,9.8
2023-04-16,Nord,55,11.1
2023-04-16,Süd,156,8.6
2023-04-17,Nord,34,13.6
2023-04-17,Süd,119,11.6
2023-04-18,Nord,40,11.0
2023-04-18,Süd,116,10.9
2023-04-19,Nord,29,11.9
2023-04-19,Süd,128,9.4
2023-04-20,Nord,40,11.9
2023-04-20,Süd,123,9.1
2023-04-21,Nord,77,19.1
2023-04-21,Süd,147,16.8
2023-04-22,Nord,74,21.1
2023-04-22,Süd,161,20.5
2023-04-23,Nord,43,17.8
2023-04-23,Süd,161,16.7
2023-04-24,Nord,34,13.4
2023-04-24,Süd,135,12.6
2023-04-25,Nord,38,9.2
2023-04-25,Süd,126,10.1
2023-04-26,Nord,48,9.2
2023-04-26,Süd,150,10.4
2023-04-27,Nord,45,10.1
2023-04-27,Süd,159,13.8
2023-04-28,Nord,13,15.1
2023-04-28,Süd,143,13.4
2023-04-29,Nord,53,14.5
2023-04-29,Süd,168,17.5
2023-04-30,Nord,56,12.7
2023-04-30,Süd,168,15.1
2024-03-01,Nord,31,12.3
2024-03-01,Süd,96,10.4
2024-03-02,Nord,39,13.1
2024-03-02,Süd,119,12.4
2024-03-03,Nord,44,13.3
2024-03-03,Süd,114,17.1
2024-03-04,Nord,42,13.4
2024-03-04,Süd,72,9.5
2024-03-05,Nord,15,8.4
2024-03-05,Süd,85,9.1
2024-03-06,Nord,39,7.6
2024-03-06,Süd,73,5.2
2024-03-07,Nord,8,7.6
2024-03-07,Süd,86,7.2
2024-03-08,Nord,42,7.9
2024-03-08,Süd,108,9.6
2024-03-09,Nord,53,9.8
2024-03-09,Süd,121,15.3
2024-03-10,Nord,50,11.8
2024-03-10,Süd,109,17.5
2024-03-11,Nord,35,10.6
2024-03-11,Süd,87,11.6
2024-03-12,Nord,38,11.1
2024-03-12,Süd,80,8.9
2024-03-13,Nord,16,11.6
2024-03-13,Süd,98,10.4
2024-03-14,Nord,34,16.2
2024-03-14,Süd,108,15.1
2024-03-15,Nord,2,15.1
2024-03-15,Süd,106,15.9
2024-03-16,Nord,22,10.1
2024-03-16,Süd,125,13.2
2024-03-17,Nord,37,8.8
2024-03-17,Süd,131,13.9
2024-03-18,Nord,32,8.6
2024-03-18,Süd,90,11.2
2024-03-19,Nord,20,11.4
2024-03-19,Süd,103,13.6
2024-03-20,Nord,42,15.2
2024-03-20,Süd,116,16.4
2024-03-21,Nord,49,11.2
2024-03-21,Süd,92,12.6
2024-03-22,Nord,0,11.2
2024-03-22,Süd,105,16.6
2024-03-23,Nord,40,9.0
2024-03-23,Süd,114,13.6
2024-03-24,Nord,33,8.2
2024-03-24,Süd,110,7.0
2024-03-25,Nord,29,9.4
2024-03-25,Süd,101,10.0
2024-03-26,Nord,29,12.4
2024-03-26,Süd,106,16.0
2024-03-27,Nord,43,16.7
2024-03-27,Süd,115,19.9
2024-03-28,Nord,23,12.7
2024-03-28,Süd,112,12.8
2024-03-29,Nord,43,12.2
2024-03-29,Süd,120,20.5
2024-03-30,Nord,45,20.1
2024-03-30,Süd,133,21.7
2024-03-31,Nord,40,13.8
2024-03-31,Süd,135,19.4
2024-04-01,Nord,11,11.9
2024-04-01,Süd,115,13.3
2024-04-02,Nord,32,12.4
2024-04-02,Süd,112,12.0
2024-04-03,Nord,25,10.1
2024-04-03,Süd,118,12.9
2024-04-04,Nord,26,12.2
2024-04-04,Süd,120,17.3
2024-04-05,Nord,29,16.3
2024-04-05,Süd,151,22.0
2024-04-06,Nord,38,22.0
2024-04-06,Süd,143,24.9
2024-04-07,Nord,59,20.4
2024-04-07,Süd,153,25.0
2024-04-08,Nord,33,19.8
2024-04-08,Süd,122,28.0
2024-04-09,Nord,29,18.1
2024-04-09,Süd,128,19.8
2024-04-10,Nord,29,13.6
2024-04-10,Süd,127,10.9
2024-04-11,Nord,32,14.4
2024-04-11,Süd,119,15.1
2024-04-12,Nord,25,19.3
2024-04-12,Süd,124,18.5
2024-04-13,Nord,43,20.4
2024-04-13,Süd,166,23.0
2024-04-14,Nord,63,16.2
2024-04-14,Süd,156,23.8
2024-04-15,Nord,56,13.1
2024-04-15,Süd,120,16.9
2024-04-16,Nord,12,9.4
2024-04-16,Süd,95,10.0
2024-04-17,Nord,28,10.9
2024-04-17,Süd,111,7.4
2024-04-18,Nord,54,11.2
2024-04-18,Süd,116,7.2
2024-04-19,Nord,27,10.2
2024-04-19,Süd,107,7.2
2024-04-20,Nord,63,8.6
2024-04-20,Süd,135,7.2
2024-04-21,Nord,38,9.3
2024-04-21,Süd,143,4.9
2024-04-22,Nord,39,7.3
2024-04-22,Süd,139,6.4
2024-04-23,Nord,47,8.8
2024-04-23,Süd,106,4.2
2024-04-24,Nord,41,7.4
2024-04-24,Süd,112,8.6
2024-04-25,Nord,37,9.2
2024-04-25,Süd,139,9.1
2024-04-26,Nord,43,11.0
2024-04-26,Süd,165,15.0
2024-04-27,Nord,75,17.6
2024-04-27,Süd,162,18.6
2024-04-28,Nord,61,20.5
2024-04-28,Süd,155,23.1
2024-04-29,Nord,55,18.8
2024-04-29,Süd,154,20.8
2024-04-30,Nord,43,22.9
2024-04-30,Süd,157,25.2
2025-03-01,Nord,54,6.3
2025-03-01,Süd,127,5.0
2025-03-02,Nord,43,7.2
2025-03-02,Süd,111,7.1
2025-03-03,Nord,15,9.1
2025-03-03,Süd,105,8.9
2025-03-04,Nord,45,9.9
2025-03-04,Süd,100,10.1
2025-03-05,Nord,24,13.3
2025-03-05,Süd,93,12.4
2025-03-06,Nord,31,15.4
2025-03-06,Süd,101,14.9
2025-03-07,Nord,42,17.2
2025-03-07,Süd,113,14.5
2025-03-08,Nord,54,16.1
2025-03-08,Süd,115,14.6
2025-03-09,Nord,61,14.9
2025-03-09,Süd,128,17.2
2025-03-10,Nord,7,11.3
2025-03-10,Süd,98,11.5
2025-03-11,Nord,2,10.2
2025-03-11,Süd,105,13.8
2025-03-12,Nord,38,7.3
2025-03-12,Süd,107,10.6
2025-03-13,Nord,21,6.5
2025-03-13,Süd,104,6.6
2025-03-14,Nord,34,6.0
2025-03-14,Süd,115,5.9
2025-03-15,Nord,48,7.5
2025-03-15,Süd,124,5.0
2025-03-16,Nord,62,6.8
2025-03-16,Süd,117,4.7
2025-03-17,Nord,32,6.2
2025-03-17,Süd,95,4.9
2025-03-18,Nord,54,8.1
2025-03-18,Süd,107,5.6
2025-03-19,Nord,44,12.0
2025-03-19,Süd,119,11.1
2025-03-20,Nord,50,17.0
2025-03-20,Süd,115,16.3
2025-03-21,Nord,68,17.2
2025-03-21,Süd,126,17.5
2025-03-22,Nord,58,14.9
2025-03-22,Süd,133,16.6
2025-03-23,Nord,61,14.6
2025-03-23,Süd,134,13.9
2025-03-24,Nord,61,14.4
2025-03-24,Süd,100,12.5
2025-03-25,Nord,38,11.2
2025-03-25,Süd,125,12.9
2025-03-26,Nord,31,11.1
2025-03-26,Süd,114,10.4
2025-03-27,Nord,51,12.4
2025-03-27,Süd,130,8.3
2025-03-28,Nord,68,16.9
2025-03-28,Süd,143,11.6
2025-03-29,Nord,36,12.2
2025-03-29,Süd,116,8.8
2025-03-30,Nord,33,9.8
2025-03-30,Süd,127,12.3
2025-03-31,Nord,57,11.6
2025-03-31,Süd,120,7.5
2025-04-01,Nord,58,13.7
2025-04-01,Süd,101,8.0
2025-04-02,Nord,47,14.9
2025-04-02,Süd,123,13.3
2025-04-03,Nord,39,17.5
2025-04-03,Süd,141,16.2
2025-04-04,Nord,45,19.8
2025-04-04,Süd,146,17.1
2025-04-05,Nord,73,10.5
2025-04-05,Süd,114,18.0
2025-04-06,Nord,56,9.4
2025-04-06,Süd,135,6.4
2025-04-07,Nord,36,12.6
2025-04-07,Süd,129,8.1
2025-04-08,Nord,34,14.6
2025-04-08,Süd,137,11.6
2025-04-09,Nord,23,13.6
2025-04-09,Süd,118,10.8
2025-04-10,Nord,34,13.5
2025-04-10,Süd,137,13.7
2025-04-11,Nord,27,15.1
2025-04-11,Süd,149,16.6
2025-04-12,Nord,72,19.3
2025-04-12,Süd,165,18.8
2025-04-13,Nord,64,18.5
2025-04-13,Süd,130,18.5
2025-04-14,Nord,65,16.9
2025-04-14,Süd,135,18.9
2025-04-15,Nord,34,23.0
2025-04-15,Süd,142,20.7
2025-04-16,Nord,61,22.6
2025-04-16,Süd,152,24.0
2025-04-17,Nord,27,14.6
2025-04-17,Süd,142,17.0
2025-04-18,Nord,43,10.4
2025-04-18,Süd,156,10.9
2025-04-19,Nord,95,9.6
2025-04-19,Süd,166,19.2
2025-04-20,Nord,106,14.0
2025-04-20,Süd,160,23.5
2025-04-21,Nord,111,16.5
2025-04-21,Süd,168,17.1
2025-04-22,Nord,33,15.5
2025-04-22,Süd,144,17.1
2025-04-23,Nord,68,16.2
2025-04-23,Süd,128,19.7
2025-04-24,Nord,46,15.3
2025-04-24,Süd,147,12.8
2025-04-25,Nord,51,14.5
2025-04-25,Süd,149,13.1
2025-04-26,Nord,65,16.8
2025-04-26,Süd,173,13.9
2025-04-27,Nord,62,17.0
2025-04-27,Süd,157,16.8
2025-04-28,Nord,44,21.0
2025-04-28,Süd,132,19.6
2025-04-29,Nord,59,21.5
2025-04-29,Süd,154,21.8
2025-04-30,Nord,40,22.4
2025-04-30,Süd,144,23.2
